source,line,key,translate,english,spanish,note
en.lproj/Localizable.strings,20,ERR_CONSTRAINT_DARKNESS,yes,"Your face was not well lit
Please try better lighting","Your face was not well lit
Please try better lighting",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,21,ERR_CONSTRAINT_DISTANCE,yes,Please move closer to the camera and try again,Please move closer to the camera and try again,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,22,ERR_CONSTRAINT_FPS,yes,"The camera is not maintaining the required frame rate
Please try closing all background applications","The camera is not maintaining the required frame rate
Please try closing all background applications",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,23,ERR_CONSTRAINT_GAZE,yes,Please directly face the camera throughout the measurement,Please directly face the camera throughout the measurement,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,24,ERR_CONSTRAINT_MOVEMENT,yes,Please hold still throughout the measurement,Please hold still throughout the measurement,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,25,ERR_CONSTRAINT_NO_NETWORK,yes,"To use Anura, please make sure you're connected to WiFi or a mobile network","To use Anura, please make sure you're connected to WiFi or a mobile network",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,26,ERR_CONSTRAINT_POSITION,yes,Please keep your face centerd within the outline throughout the measurement,Please keep your face centerd within the outline throughout the measurement,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,27,ERR_CONSTRAINT_TOO_FAR,yes,Please move closer to the camera and keep your face centerd within the outline throughout the measurement,Please move closer to the camera and keep your face centerd within the outline throughout the measurement,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,28,ERR_MSG_SNR,yes,"The blood flow measurement was not reliable
Please try to allow the light to fall evenly across your face while holding still","The blood flow measurement was not reliable
Please try to allow the light to fall evenly across your face while holding still",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,29,ERR_MSG_SNR_SHORT,yes,Please try to allow the light to fall evenly across your face while holding still,Please try to allow the light to fall evenly across your face while holding still,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,30,ERR_CAMERA_CALIBRATION_TIMEOUT,yes,"Could not calibrate camera
Restarting calibration...","Could not calibrate camera
Restarting calibration...",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,33,app.HomeScreenStrings.Response_Received,yes,Response Received,Response Received,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,34,app.HomeScreenStrings.Weather.Loading_Weather,yes,Loading Weather...,Loading Weather...,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,35,app.HomeScreenStrings.Weather.Error,yes,Error:,Error:,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,36,app.HomeScreenStrings.Weather.Fetching_location,yes,Fetching location...,Fetching location...,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,37,app.HomeScreenStrings.Weather.Welcome_to_the,yes,Welcome to the,Welcome to the,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,38,app.HomeScreenStrings.Weather.ABC_Company,yes,[ABC Company],[ABC Company],Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,39,app.HomeScreenStrings.Weather.Kiosk,yes,Kiosk,Kiosk,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,40,app.HomeScreenStrings.Weather.highLow,yes,H:%d°F  L:%d°F,H:%d°F  L:%d°F,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,41,app.HomeScreenStrings.Promo.Curious_About_Your_Health,yes,Curious About Your Health?,Curious About Your Health?,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,42,app.HomeScreenStrings.Promo.Start_with_a_30_seconds_Face_Scan,yes,Start with a 30 seconds Face Scan,Start with a 30 seconds Face Scan,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,43,app.HomeScreenStrings.Promo.Watch_Quick_Demo,yes,Watch Quick Demo,Watch Quick Demo,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,44,app.HomeScreenStrings.Promo.Try_Face_Scan,yes,Try Face Scan,Try Face Scan,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,45,app.HomeScreenStrings.ReadSection.Loading,yes,Loading...,Loading...,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,46,app.HomeScreenStrings.ReadSection.Content_Temporarily_Unavailable,yes,Content Temporarily Unavailable,Content Temporarily Unavailable,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,47,app.HomeScreenStrings.ReadSection.Today_s_Read,yes,Today's Read,Today's Read,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,48,app.HomeScreenStrings.ReadSection.Article,yes,Article,Article,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,49,app.HomeScreenStrings.ReadSection.From_HR_Desk,yes,From HR Desk,From HR Desk,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,50,app.HomeScreenStrings.Schedule.Today_s_Schedule,yes,Today's Schedule,Today's Schedule,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,51,app.HomeScreenStrings.Schedule.No_Schedule,yes,No Schedule,No Schedule,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,52,app.HomeScreenStrings.Schedule.Daily_Stand_Up,yes,Daily Stand-Up,Daily Stand-Up,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,53,app.HomeScreenStrings.Schedule.A_stand_up_meeting_is_a_meeting_in_which_attendees_typically,yes,A stand-up meeting is a meeting in which attendees typically participate while standing.,A stand-up meeting is a meeting in which attendees typically participate while standing.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,54,app.HomeScreenStrings.Schedule.Quarterly_Town_Hall_Meeting,yes,Quarterly Town Hall Meeting,Quarterly Town Hall Meeting,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,55,app.HomeScreenStrings.Schedule.To_discuss_about_the_upcoming_project_organization_of_units,yes,To discuss about the upcoming project & organization of units,To discuss about the upcoming project & organization of units,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,56,app.HomeScreenStrings.Schedule.Q3_Wellness_Challenge_begins,yes,Q3 Wellness Challenge begins,Q3 Wellness Challenge begins,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,57,app.HomeScreenStrings.Schedule.To_discuss_about_the_upcoming_project_organization_of_units_2,yes,To discuss about the upcoming project & organization of units,To discuss about the upcoming project & organization of units,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,58,app.HomeScreenStrings.Schedule.Diversity_Equity_Inclusion_DEI_Awareness_Days,yes,"Diversity, Equity & Inclusion (DEI) Awareness Days","Diversity, Equity & Inclusion (DEI) Awareness Days",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,59,app.HomeScreenStrings.Schedule.Panels_training_and_celebration_of_heritage_months_or_cultur,yes,"Panels, training, and celebration of heritage months or cultural milestones.","Panels, training, and celebration of heritage months or cultural milestones.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,60,app.HomeScreenStrings.Schedule.Wellness_Week_Health_Fair,yes,Wellness Week / Health Fair,Wellness Week / Health Fair,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,61,app.HomeScreenStrings.Schedule.Activities_focused_on_physical_and_mental_well_being,yes,Activities focused on physical and mental well-being.,Activities focused on physical and mental well-being.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,62,app.HomeScreenStrings.Schedule.Hackathons_Innovation_Days,yes,Hackathons / Innovation Days,Hackathons / Innovation Days,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,63,app.HomeScreenStrings.Schedule.Creative_sprints_where_teams_develop_solutions_tools_or_prot,yes,"Creative sprints where teams develop solutions, tools, or prototypes.","Creative sprints where teams develop solutions, tools, or prototypes.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,64,app.HomeScreenStrings.Schedule.Team_Building_Retreat,yes,Team-Building Retreat,Team-Building Retreat,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,65,app.HomeScreenStrings.Schedule.A_full_day_or_overnight_program_to_boost_collaboration_and_m,yes,A full-day or overnight program to boost collaboration and morale.,A full-day or overnight program to boost collaboration and morale.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,66,app.HomeScreenStrings.Schedule.Company_Anniversary,yes,Company Anniversary,Company Anniversary,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,67,app.HomeScreenStrings.Schedule.Celebration_of_the_organization_s_founding_and_journey,yes,Celebration of the organization's founding and journey.,Celebration of the organization's founding and journey.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,68,app.HomeScreenStrings.Schedule.Open_Enrollment_Benefits_Fair,yes,Open Enrollment / Benefits Fair,Open Enrollment / Benefits Fair,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,69,app.HomeScreenStrings.Schedule.Informational_sessions_on_employee_benefits_insurance_and_pe,yes,"Informational sessions on employee benefits, insurance, and perks.","Informational sessions on employee benefits, insurance, and perks.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,70,app.HomeScreenStrings.Schedule.Community_Service_Volunteer_Day,yes,Community Service / Volunteer Day,Community Service / Volunteer Day,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,71,app.HomeScreenStrings.Schedule.Team_led_initiatives_supporting_local_organizations,yes,Team-led initiatives supporting local organizations.,Team-led initiatives supporting local organizations.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,72,app.HomeScreenStrings.Schedule.Mid_Year_Review,yes,Mid-Year Review,Mid-Year Review,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,73,app.HomeScreenStrings.Schedule.Alignment_on_key_metrics_shifting_priorities_and_future_plan,yes,"Alignment on key metrics, shifting priorities, and future plans.","Alignment on key metrics, shifting priorities, and future plans.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,74,app.HomeScreenStrings.Schedule.New_Employee_Welcome_Sessions,yes,New Employee Welcome Sessions,New Employee Welcome Sessions,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,75,app.HomeScreenStrings.Schedule.Monthly_or_quarterly_onboarding_experiences_with_leadership,yes,Monthly or quarterly onboarding experiences with leadership meet-and-greets.,Monthly or quarterly onboarding experiences with leadership meet-and-greets.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,76,app.PhysicalAttributesScreenStrings.Tell_us_about_yourself,yes,Tell us about yourself,Tell us about yourself,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,77,app.PhysicalAttributesScreenStrings.We_use_these_details_to_ensure_your_scan_results_are_as_accu,yes,We use these details to ensure your scan results are as accurate as possible.,We use these details to ensure your scan results are as accurate as possible.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,78,app.PhysicalAttributesScreenStrings.We_value_your_privacy_Your_information_will_NOT_be_shared_ex,yes,We value your privacy. Your information will NOT be shared externally.,We value your privacy. Your information will NOT be shared externally.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,79,app.PhysicalAttributesScreenStrings.Watch_Demo,yes,Watch Demo,Watch Demo,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,80,app.PhysicalAttributesScreenStrings.Proceed_to_Scan,yes,Proceed to Scan,Proceed to Scan,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,81,app.PhysicalAttributesScreenStrings.Skip_to_Results,yes,Skip to Results,Skip to Results,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,82,app.PhysicalAttributesScreenStrings.OK,yes,OK,OK,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,83,app.PhysicalAttributesScreenStrings.Validation.Please_enter_your_email,yes,Please enter your email.,Please enter your email.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,84,app.PhysicalAttributesScreenStrings.Validation.Please_enter_a_valid_email,yes,Please enter a valid email.,Please enter a valid email.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,85,app.PhysicalAttributesScreenStrings.Validation.Please_select_your_height,yes,Please select your height.,Please select your height.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,86,app.PhysicalAttributesScreenStrings.Validation.Weight_cannot_be_empty,yes,Weight cannot be empty.,Weight cannot be empty.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,87,app.PhysicalAttributesScreenStrings.Validation.Weight_cannot_be_less_than_75_lbs,yes,Weight cannot be less than 75 lbs.,Weight cannot be less than 75 lbs.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,88,app.PhysicalAttributesScreenStrings.Validation.Please_enter_your_age,yes,Please enter your age.,Please enter your age.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,89,app.PhysicalAttributesScreenStrings.Validation.Age_must_be_between_13_and_120_years,yes,Age must be between 13 and 120 years.,Age must be between 13 and 120 years.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,90,app.PhysicalAttributesScreenStrings.Validation.Please_select_your_gender,yes,Please select your gender.,Please select your gender.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,91,app.PhysicalAttributesScreenStrings.Form.Email,yes,Email,Email,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,92,app.PhysicalAttributesScreenStrings.Form.Enter_email,yes,Enter email,Enter email,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,93,app.PhysicalAttributesScreenStrings.Form.Enter_a_valid_email_address,yes,Enter a valid email address,Enter a valid email address,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,94,app.PhysicalAttributesScreenStrings.Form.Age,yes,Age,Age,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,95,app.PhysicalAttributesScreenStrings.Form.How_old_are_you,yes,How old are you?,How old are you?,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,96,app.PhysicalAttributesScreenStrings.Form.Height,yes,Height,Height,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,97,app.PhysicalAttributesScreenStrings.Form.Feet_Inches,yes,Feet / Inches,Feet / Inches,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,98,app.PhysicalAttributesScreenStrings.Form.Select_Height,yes,Select Height,Select Height,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,99,app.PhysicalAttributesScreenStrings.Form.ft,yes,ft,ft,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,100,app.PhysicalAttributesScreenStrings.Form.in,yes,in,in,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,101,app.PhysicalAttributesScreenStrings.Form.Done,yes,Done,Done,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,102,app.PhysicalAttributesScreenStrings.Form.Weight,yes,Weight,Weight,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,103,app.PhysicalAttributesScreenStrings.Form.Lbs,yes,Lbs,Lbs,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,104,app.PhysicalAttributesScreenStrings.Form.Sex_at_birth,yes,Sex (at birth),Sex (at birth),Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,105,app.PhysicalAttributesScreenStrings.Form.Male,yes,Male,Male,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,106,app.PhysicalAttributesScreenStrings.Form.Female,yes,Female,Female,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,107,app.PhysicalAttributesScreenStrings.Settings.External_camera_preset,yes,External camera preset,External camera preset,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,108,app.PhysicalAttributesScreenStrings.Settings.Preview_orientation,yes,Preview orientation,Preview orientation,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,109,app.PhysicalAttributesScreenStrings.Settings.Mirror_external_camera_video,yes,Mirror external camera video,Mirror external camera video,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,110,app.PhysicalAttributesScreenStrings.Settings.Use_external_camera_only,yes,Use external camera only,Use external camera only,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,111,app.PhysicalAttributesScreenStrings.Settings.If_enabled_only_the_external_camera_will_be_used_If_disabled,yes,"If enabled, only the external camera will be used. If disabled, the app will automatically switch between the built-in camera and an external camera (external camera is prioritized).","If enabled, only the external camera will be used. If disabled, the app will automatically switch between the built-in camera and an external camera (external camera is prioritized).",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,112,app.PhysicalAttributesScreenStrings.Settings.Camera_Settings,yes,Camera Settings,Camera Settings,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,113,app.PhysicalAttributesScreenStrings.Settings.Close,yes,Close,Close,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,114,app.PhysicalAttributesScreenStrings.Settings.Unknown,yes,Unknown,Unknown,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,115,app.PhysicalAttributesScreenStrings.Settings.Portrait,yes,Portrait,Portrait,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,116,app.PhysicalAttributesScreenStrings.Settings.LandscapeLeft,yes,LandscapeLeft,LandscapeLeft,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,117,app.PhysicalAttributesScreenStrings.Settings.LandscapeRight,yes,LandscapeRight,LandscapeRight,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,118,app.PhysicalAttributesScreenStrings.Settings.PortraitUpsideDown,yes,PortraitUpsideDown,PortraitUpsideDown,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,119,app.PhysicalAttributesScreenStrings.Debug.Submit_Debug_Scan_API,yes,Submit Debug Scan API,Submit Debug Scan API,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,120,app.PhysicalAttributesScreenStrings.Debug.Debug_scan_API_submitted_successfully,yes,Debug scan API submitted successfully.,Debug scan API submitted successfully.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,121,app.PhysicalAttributesScreenStrings.Debug.Failed_to_submit_debug_scan_API,yes,Failed to submit debug scan API.,Failed to submit debug scan API.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,122,app.PhysicalAttributesScreenStrings.Debug.Unable_to_open_results_screen,yes,Unable to open results screen.,Unable to open results screen.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,123,app.ReadPdfScreenStrings.Loading_PDF,yes,Loading PDF...,Loading PDF...,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,124,app.ReadPdfScreenStrings.Failed_to_load_PDF,yes,Failed to load PDF,Failed to load PDF,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,125,app.ResultScreenStrings.Great_job_taking_a_proactive_step_for_your_health,yes,Great job taking a proactive step for your health!,Great job taking a proactive step for your health!,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,126,app.ResultScreenStrings.Great_job_taking_a_proactive_step_for_your_health_2,yes,"Great job taking a proactive step
for your health!","Great job taking a proactive step
for your health!",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,127,app.ResultScreenStrings.Below_is_a_summary_of_your_key_biomarkers_based_on_your_30_s,yes,Below is a summary of your key biomarkers based on your 30-second scan.,Below is a summary of your key biomarkers based on your 30-second scan.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,128,app.ResultScreenStrings.This_report_is_intended_to_improve_your_awareness_of_general,yes,This report is intended to improve your awareness of general wellness. It is not a substitute for the clinical judgment of a health care professional.  These results provide a non-diagnostic screening to help you understand your current wellness trends.,This report is intended to improve your awareness of general wellness. It is not a substitute for the clinical judgment of a health care professional.  These results provide a non-diagnostic screening to help you understand your current wellness trends.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,129,app.ResultScreenStrings.Hibiscus_Health_is_intended_to_improve_your_awareness_of_gen,yes,"Hibiscus Health is intended to improve your awareness of general wellness. Hibiscus Health does not diagnose, treat, mitigate or prevent any disease, symptom, disorder or abnormal physical state. Consult with a healthcare professional or emergency services if you believe you may have a medical issue.","Hibiscus Health is intended to improve your awareness of general wellness. Hibiscus Health does not diagnose, treat, mitigate or prevent any disease, symptom, disorder or abnormal physical state. Consult with a healthcare professional or emergency services if you believe you may have a medical issue.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,130,app.ResultScreenStrings.The_results_from_this_face_scan_are_not_intended_to_diagnose,yes,"The results from this face scan are not intended to diagnose, treat, or replace professional medical advice. For any health concerns, please consult a healthcare provider.","The results from this face scan are not intended to diagnose, treat, or replace professional medical advice. For any health concerns, please consult a healthcare provider.",Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,131,app.ResultScreenStrings.Actions.Email_Results,yes,Email Results,Email Results,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,132,app.ResultScreenStrings.Actions.Back,yes,Back,Back,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,133,app.ResultScreenStrings.Actions.View_Next_Steps,yes,View Next Steps,View Next Steps,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,134,app.ResultScreenStrings.Status.Measurement_failed,yes,Measurement failed,Measurement failed,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,135,app.ResultScreenStrings.Status.Unable_to_load_results_Please_try_again,yes,Unable to load results. Please try again.,Unable to load results. Please try again.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,136,app.ResultScreenStrings.Status.Exit,yes,Exit,Exit,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,137,app.ResultScreenStrings.Status.loading,yes,Loading (%d of %d),Loading (%d of %d),Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,138,app.ResultScreenStrings.Print.Error,yes,Error,Error,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,139,app.ResultScreenStrings.Print.OK,yes,OK,OK,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,140,app.ResultScreenStrings.Print.Failed_to_render_results_for_printing,yes,Failed to render results for printing.,Failed to render results for printing.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,141,app.ResultScreenStrings.Print.Failed_to_generate_PDF_for_printing,yes,Failed to generate PDF for printing.,Failed to generate PDF for printing.,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,142,app.ResultScreenStrings.Print.Health_Report,yes,Health Report,Health Report,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,143,app.ResultScreenStrings.EmailPopup.Send_result_to_your_mail,yes,Send result to your mail,Send result to your mail,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,144,app.ResultScreenStrings.EmailPopup.Email_address,yes,Email address,Email address,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,145,app.ResultScreenStrings.EmailPopup.Email,yes,Email,Email,Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,146,app.ResultScreenStrings.EmailPopup.Create_a_4_digit_secret_key,yes,Create a 4-digit secret key,Create a 4-digit secret key,Spanish placeholder currently matches English; replace with translated value.
